cluster_level,cluster,choice,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,topic71,topic72
level 1,182,Toxin,Toxin,Microbial toxin,AB toxin,Toxin and Toxin-Target Database,Botulinum toxin,Polymorphic toxins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1152,Wastewater,Wastewater,Wastewater treatment,Industrial wastewater treatment,Conventional wastewater treatment,Municipal wastewater treatment energy management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,3059,Precarious work,Precarious work,Coping,The Perseverance,Procrastination,Life Events and Difficulties Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,6714,Category theory,Category theory,Theory of categories,Higher category theory,Limit (category theory),Pullback (category theory),End (category theory),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,11040,Tectonics,Tectonostratigraphy,Plate tectonics,Tectonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8503,Logistics,Logistics,International Society of Logistics,Chartered Institute of Logistics and Transport,Logistics engineering,Logistics Support System,Logistics automation,Design for logistics,Logistics Vehicle System,Reverse logistics,Third-party logistics,Logistics support analysis,Integrated logistics support,Technological and Logistics Directorate,Information logistics,Performance-based logistics,Multi-Purpose Logistics Module,Logistics Proponency Office,Logistics Performance Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1133,Hydrological model,Hydrological model,Hydrologic Unit Modeling for the United States,Hydrological transport model,Behavioral modeling in hydrology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,10915,Film genre,Film genre,Film series,Film noir,Sedona Film School,Outsiders (film),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1296,Climate change,Climate change mitigation,Climate change,Climate change vulnerability,Climate change in the United States,Climate change scenario,Effects of climate change on agriculture,Economics of climate change,Effects of climate change,Climate change adaptation,Attribution of recent climate change,Economic impacts of climate change,Climate variability and change,Effects of climate change on ecosystems,Effects of climate change on plant biodiversity,Effects of climate change on the water cycle,Effects of climate change on human health,Effects of climate change on oceans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,252,Geothermal energy,Geothermal gradient,Hydrothermal vent,Geothermal power in Germany,Geothermal energy,Geothermal heating,Geothermal power,Isothermal flow,Electrothermal-chemical technology,Hydrothermal synthesis,Isothermal process,Hydrothermal circulation,Geothermal activity,National Geothermal Data System,Electrothermal instability,Puna Geothermal Venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,543,Immigration,Sociology of immigration,Economic migrant,Migrant Help,Immigration,Immigration to France,Immigration to Germany,Migrants and Refugees Section,Migrant crisis,Migrant literature,Climate migrant,Migrant education,Immigration to Europe,Refugee employment,African immigration to Europe,Immigration to the United States,Migrant worker,Foreign worker,Immigration law,Refugee health,Domestic worker,Illegal immigration,Illegal,Deportation,Opposition to immigration,H-1B visa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1511,Programming language,Programming language,System programming language,Programming language implementation,Computer language,Programming language theory,High-level programming language,Symbolic language (programming),B (programming language),Software language,General-purpose programming language,Programming language specification,Scientific programming language,Very high-level programming language,Low-level programming language,Strict programming language,S (programming language),Programming language design and implementation,C (programming language),Third-generation programming language,Lucid (programming language),Language-based system,Expression-oriented programming language,Literate programming,Open Programming Language,Programming language reference,Fundamental Concepts in Programming Languages,F (programming language),D (programming language),Polymorphic Programming Language,Real-time Programming Language,Crystal (programming language),Concatenative programming language,FOCAL (programming language),Applicative programming language,Io (programming language),Lisp (programming language),Comparison of programming languages,P4 (programming language),Qore (programming language),Symposium on Principles of Programming Languages,D Language Foundation,Occam (programming language),Universal systems language,F Sharp (programming language),Orc (programming language),Occitan language,Scripting language,Go (programming language),Comparison of programming languages (string functions),LIS (programming language),Address programming language,F-Script (programming language),DIGITAL Command Language,MML (programming language),XOD (programming language),Julia (programming language),OpenEdge Advanced Business Language,MMX (instruction set),MDL (programming language),Nyquist (programming language),Measuring programming language popularity,OCB mode,,,,,,,,,,
level 2,1008,Piano sonata,Piano sonata,Deutsches Musikinformationszentrum,Piano concerto,Gesellschaft der Musikfreunde,Twelve New Etudes for Piano,Rubato International Piano Competition,MusikCube,Musikdrama,Composer,Low Brass Concerto,Concerto competition,Mozart!,Symphonic Studies (Schumann),Cello,Goethe House,Two Concert Études (Liszt),Études (Chopin),Beethoven and his contemporaries,Sonata form,Goethean science,Concerto for Pedal Steel Guitar and Orchestra,Mozartplatz,Violin plot,"Goethe-Institut, New York",International Violin Competition Leopold Mozart in Augsburg,Schumann document,Coronation Mass (Mozart),Wolfgang Amadeus Mozart in popular culture,Violin technique,Piano Sonata No. 8 (Mozart),Violin Concerto (Rubinstein),Violin Concerto (Sessions),Yehudi Menuhin International Competition for Young Violinists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,9201,Evolution of insects,Evolution of insects,Evolution of butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,4532,Ad hoc,Wireless ad hoc network,Ad hoc network,Ad hoc testing,Ad hoc hypothesis,Ad hoc,Post hoc analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1546,Macroeconomics,Investment (macroeconomics),Macroeconomics,Inflation (cosmology),Macroeconomic regulation and control,AP Macroeconomics,Recession,New classical macroeconomics,Monetary/fiscal debate,Macroeconomic model,Macroeconomic policy instruments,Monetary-disequilibrium theory,Macroeconomic indicators,Monetary policy,Monetary base,Monetary system,Inflation derivative,Great Recession,Non-monetary economy,Monetary reform,Modern Monetary Theory,Monetary transmission mechanism,Inflation,1973–1975 recession,Monetary circuit theory,Eternal inflation,Gingival recession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1164,Coercion,Cooperative coevolution,Coercion,Coexistence,Coercivity,Coevolution,Coercive function,Coetas Formation,Coelolepis,Coenites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1867,Laser Doppler vibrometer,Laser Doppler imaging,Laser Doppler velocimetry,Laser surface velocimeter,Laser Doppler vibrometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1778,Information science,Heuristic-systematic model of information processing,Information infrastructure,Information and communications technology,Information and computer science,Information access,Information Architecture Institute,Information science,Information quality management,Information art,Information technology,Information diagram,Information system,Consumerization of information technology,Information quality,Social information processing (cognition),Information architecture,Social information processing,Observed information,Information sensitivity,Information behavior,Architecture of Integrated Information Systems,Informetrics,Information technology planning,Information engineering (field),Information professional,Information industry,Information seeking,Informatization,Information design,Information integration,Information Systems & Services,Social information processing (theory),Master of Science in Information Technology,Information source (mathematics),Information Learning Technology,Information processing (psychology),Information processes and technology,Intelligence source and information reliability,Information flow,Information society,Information Systems Professional,Information culture,Association for Information Systems,Variation of information,Information strategist,Information model,Information space,Information revolution,Information integration theory,Information theory,Specific-information,Information processing theory,Information structure,Information,Information content,Information flow (information theory),Information theory and measure theory,Information needs,Information criterion (information technology),Philosophy of information,Integrated information theory,Information systems success model,Pragmatic theory of information,Guide to information sources,Information manipulation theory,Information good,Complete information,Directed information,Presence information,Perfect information,Information deficit model,
level 1,9134,Animal Health,Animal Health,Animal Welfare Act 2006,Animal welfare,World Organisation for Animal Health,Performing Animal Welfare Society,Animal welfare science,Institutional Animal Care and Use Committee,Animal Welfare Act of 1966,Animal and Plant Health Agency,Animal welfare labelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,676,Evangelical theology,Evangelical theology,The Evangelical College of Theology,Christian mission,International Council for Evangelical Theological Education,Evangelical Theology Student Council,Graduate Theological Foundation,The gospel,Sermon,Law and Gospel,Evangelicalism,Evangelism,Timeline of Christian missions,Missionary,Bishop,Baptist Mission Australia,Free offer of the gospel,Evanescent field,Sermons of John Wesley,Matthew Bishop,General Conference of Seventh-day Adventists,Jesuit's bark,Bishop of Leicester,Hope International (Seventh-day Adventist),Billy Graham Evangelistic Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1689,Metal–organic framework,Metal–organic framework,Metal–inorganic framework,Cobalt compounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,10737,Geophysics,Géoscope (geology),Exploration geophysics,Geophysics,Geophysical survey,Geophysical imaging,Computational geophysics,International Association of Geoanalysts,Near-surface geophysics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,961,Silicic acid,Aos Sí,Silicic acid,Silyl modified polymers,SI base unit,Ši,SI derived unit,SIL International,Silylene,Silene,Siah Gerd,Sieve,ACM SIGACT,Tetrakis(trimethylsilyloxy)silane,SIGCSE,In silico medicine,SIGMOD,SIGPLAN,SIG Sauer M17,SIGMET,Sikorsky S-69,Sikorsky S-61R,Sievert,Siedlung,Sigmoid function,N-heterocyclic silylene,SIGLA,Silviculture,Sikorsky S-72,Silvopasture,In silico,Sikorsky CH-148 Cyclone,Do-si-do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,596,Thesaurus,Thesaurus,Phraseology,Meaning (non-linguistic),Folk etymology,Arabic nouns and adjectives,Noun,Sentence word,Terminology,Noun phrase,English adjectives,Synonym,Etymology,Like terms,Meaning,Adjective,Phrase,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,715,Romanism,Romani media,Romani language,Romani studies,Romanism,Romani society and culture,Romanization,Romanization (cultural),Romani Americans,Historiography of Romanisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1990,Charge carrier,Charge carrier,Charge control,Charging station,Chargemaster,Charge controller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,2837,Cognitive computer,Cognitive computer,Cognitive architecture,Cognitive computing,Cognitive systems engineering,DUAL (cognitive architecture),Cognition Network Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8380,Chartered Professional Accountant,Chartered Professional Accountant,Chartered Financial Analyst,Aviation Traders Accountant,Chartered IT Professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1791,Efficiency,Economic efficiency,Efficiency,Productivity software,Mechanical efficiency,Operational efficiency,Material efficiency,Efficiency (statistics),Productivity,Productivity-improving technologies,Dynamic efficiency,Productive efficiency,Efficiency ratio,Productivity model,High Productivity Computing Systems,Efficiency movement,Total factor productivity,Allocative efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,820,Calodesma,Calodesma,Mesurodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1229,Economic equilibrium,Economic equilibrium,Balanced-growth equilibrium,Separating equilibrium,Mechanical equilibrium,Genetic equilibrium,Equilibrium selection,Stochastically stable equilibrium,Computable general equilibrium,Market equilibrium computation,General equilibrium theory,Equilibrium chemistry,Chemical equilibrium,Dynamic equilibrium,Nash equilibrium,Intertemporal equilibrium,Partial equilibrium,Applied general equilibrium,Sequential equilibrium,Equilibrium constant,Subgame perfect equilibrium,Equilibrium point,Determination of equilibrium constants,Equilibrium unfolding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1334,Energy policy,Energy policy,United States energy law,Energy law,Energy Policy Act,Energy Act 2013,Energy Act 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,5940,Associator,Associative array,Associative entity,Associator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,532,Rural settlement,Rural settlement,Settlement geography,Debt settlement,Urban settlement,Community settlement,Dispute settlement in the World Trade Organization,Settlement (litigation),Settlement village,Structured settlement,Unified settlement planning,Settlement (structural),Settlement conference,Settlement (finance),Human settlement,Investor–state dispute settlement,Friendly settlement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1450,Notebook interface,Storybook architecture,Notebook interface,Quality storyboard,Motherboard,Passbook,Interactive whiteboard,Hardboard,Whiteboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,560,Suicide,Youth suicide,Suicide,Suicidal tendencies,Suicide intervention,Suicide attempt,Suicide inhibition,Suicide prevention,Suicidal ideation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1723,Systems architecture,Systems architecture,System Architect,System Architecture Evolution,Systems architect,Systems development life cycle,Integrated Strategies,Interoperability,Integrated design,Systems engineering,System generation,Integrated operations,Ideal Institute of Engineering,Coupled Model Intercomparison Project,Integrated engineering,Complex Engineering Systems Institute,Systems Engineering and Technical Assistance,Model-driven integration,Service Integration Maturity Model,Software deployment,Capability management,Human systems engineering,Capability,Capability (systems engineering),Capability management in business,Integrated Design Associates,Capability approach,Integrated Global System Model,International Conference on Systems Engineering,Integrated Programme,International Council on Systems Engineering,Deployment management,System deployment,International Image Interoperability Framework,Capability Maturity Model Integration,Deployment environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,672,God,Belief in God,Sovereignty of God in Christianity,Kingship and kingdom of God,Existence of God,Act of God,Divinity,Movement of the Word of God,Godhead in Christianity,Conceptions of God,Deity,Image of God,Men (deity),Creator deity,Godhead in Judaism,Qos (deity),People of God,Doctor of Divinity,God,Göd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,5136,Bet,Beteza,Bet,Betti number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8598,Integrated operations,Integrated operations,Integrated design,Integrated engineering,Integrated Strategies,Integrated Design Associates,Integrated Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,1834,Scanning tunneling microscope,Scanning tunneling microscope,Multi-tip scanning tunneling microscopy,Spin-polarized scanning tunneling microscopy,Scanning tunneling spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,258,Heat fusion,Heat fusion,Cold fusion,Frozen orbit,Cold Atom Laboratory,Ground frost,Cold War,Winter storm,Cold-core low,Heat illness,"Winter, Wisconsin",Cold,Freezing,ColdHeat,Storm,Jupiter Icy Moons Explorer,January 1998 North American ice storm,Frost heaving,Degree of frost,Freezing-point depression,Cold and heat adaptations in humans,Freezing behavior,Common cold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,4987,R Andromedae,R Andromedae,SW Andromedae,11 Andromedae,15 Andromedae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1522,Strategic delegation,Strategic delegation,Procedural memory,Procedural programming,Procedural generation,Procedural knowledge,Injective module,Injector,Procedural control,Delegation,Procedural modeling,Dispatcher training simulator,Delegation (object-oriented programming),Ops,OPS5,Dynamic dispatch,Poisk (ISS module),Multiple dispatch,Delegation (computing),Nauka (ISS module),Pirs (ISS module),Rassvet (ISS module),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1887,Respiratory system,Respiratory system,Breathing,Circular breathing,Lung volumes,Respiratory tract,Respiratory examination,Respiratory disease,Lung,Pulmonary circulation,Lung compliance,Breathing set,Breathability,Respiratory tract infection,Pulmonary function testing,Chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,6561,Outcrossing,Outcrossing,Wayfinding,Broadsiding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,773,Paper,Paper print,Printing and writing paper,Coated paper,Newspaper,Paper and Packaging Board,Paper prototyping,Press (newspaper),Online newspaper,Papermaking,Story paper,Book paper,Green paper,Paperboard,Paper craft,Construction paper,Technique (newspaper),Wood-free paper,Commercial paper,Dirty paper coding,Magazine paper,Paper engineering,Newspaper production process,Paper,Paper chemicals,Paper model,History of paper,Working paper,Paper Project,Term paper,Carbonless copy paper,Dó paper,Paper size,Laid paper,White paper,Blank piece of paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1377,Channel system (computer science),Channel system (computer science),Channel modulator,Channel coordination,Channel (broadcasting),E-Channel,English Channel,Structural channel,Channel access method,Channel use,Covert channel,Multiple-channel architecture,Channel allocation schemes,Single-channel architecture,Integral channel feature,Return channel,Covert listening device,Micro Channel architecture,Execute Channel Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,490,Conviction,Conviction,Trusty system (prison),Juvenile court,Criminal sentencing in the United States,Juvenile law,Jury instructions,Prison,Mandatory sentencing,Prosecutor,Innocence commissions,Jury,Prosecutorial discretion,Juvenile delinquency,Prisonball,Sentencing guidelines,Probation,Parole,Main Administration for Affairs of Prisoners of War and Internees,Penitentiary Act 1799,Prisoner,Guantanamo Review Task Force,Standard Minimum Rules for the Treatment of Prisoners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,3064,Emotion,Emotion and memory,Expressed emotion,Emotionality,Emotion,Emotional expression,Appeal to emotion,Interest (emotion),Emotional prosody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
